theta,theta_dot,torque,label1,label2
4.70028,1.62345,0.0685958,1.62345,-9.75692
0.986406,-4.42415,0.138745,-4.42415,8.365
4.50242,1.9829,-0.92517,1.9829,-10.5395
2.194,3.6366,0.843279,3.6366,8.77275
5.06191,-2.78244,-0.154587,-2.78244,-9.34361
1.02358,-0.647892,0.703523,-0.647892,9.08751
5.10943,-0.649236,-0.410694,-0.649236,-9.45106
1.11067,-4.79406,-0.491136,-4.79406,8.34652
4.60952,0.772532,-0.839813,0.772532,-10.6057
3.04627,-3.1874,0.392644,-3.1874,1.35822
0.219976,-2.20189,0.339625,-2.20189,2.50224
5.61583,-3.763,0.333544,-3.763,-5.70032
4.53348,2.78393,0.0345211,2.78393,-9.64673
5.99114,2.90692,-0.463535,2.90692,-3.31699
5.33544,-2.6803,0.388343,-2.6803,-7.55158
6.24867,0.270028,-0.831725,0.270028,-1.17299
4.72475,-4.88964,-0.647166,-4.88964,-10.4075
0.766512,4.0294,-0.812016,4.0294,5.95217
1.85664,1.8586,0.846868,1.8586,10.2402
6.16492,-4.66737,0.719994,-4.66737,-0.39082
0.838272,4.82108,-0.548651,4.82108,6.69676
0.895775,-4.58241,0.893379,-4.58241,8.59781
1.52883,-1.08329,-0.188295,-1.08329,9.6239
3.24046,-4.54142,0.905201,-4.54142,-0.0176947
1.94951,-2.17026,0.288101,-2.17026,9.42469
4.65671,2.04933,-0.633631,2.04933,-10.4489
4.52939,3.88419,0.283974,3.88419,-9.40107
1.23307,1.25126,0.761269,1.25126,10.0046
0.89766,0.694293,-0.987792,0.694293,6.67541
3.34022,-1.8585,0.737238,-1.8585,-1.17992
5.89916,0.698572,-0.085619,0.698572,-3.76794
2.65444,-4.514,-0.987511,-4.514,3.64979
0.0440391,2.14583,-0.181991,2.14583,0.228435
0.245551,-2.45023,-0.789256,-2.45023,1.61997
5.00015,-2.07068,0.505429,-2.07068,-8.88049
5.8406,3.33324,-0.8215,3.33324,-5.05619
5.25807,-1.68896,0.277203,-1.68896,-8.09125
2.73042,1.76974,0.0441343,1.76974,3.94735
3.7699,0.562355,-0.496329,0.562355,-6.268
5.23414,2.12711,-0.250508,2.12711,-8.77654
3.39315,1.60544,-0.766744,1.60544,-3.22462
5.06114,4.37379,-0.316984,4.37379,-9.58015
2.96696,3.70803,-0.771338,3.70803,0.895999
1.78924,2.18007,-0.919127,2.18007,8.63594
0.227052,-3.00799,-0.758755,-3.00799,1.47962
6.09756,-0.465886,-0.824171,-0.465886,-2.63008
3.66047,-1.24477,0.0393816,-1.24477,-4.81301
3.28588,-1.951,0.540381,-1.951,-0.850708
5.26714,2.83108,-0.562606,2.83108,-8.9297
0.292157,-0.589958,0.212634,-0.589958,3.04399
5.53036,-1.2889,0.809299,-1.2889,-5.88493
3.10039,1.69601,0.348398,1.69601,0.7355
1.06567,3.07133,-0.744771,3.07133,7.80936
3.18253,4.95431,-0.632234,4.95431,-1.08327
3.65519,4.97048,-0.801634,4.97048,-5.67115
0.993152,-3.90872,-0.425336,-3.90872,7.83209
1.10903,1.10529,-0.634833,1.10529,8.13668
1.67722,1.60103,-0.206337,1.60103,9.53215
1.66324,-2.94989,-0.586155,-2.94989,9.21146
0.190035,1.19298,0.169817,1.19298,2.01093
0.0497535,3.80412,0.424323,3.80412,0.874162
5.39963,-4.4963,-0.484378,-4.4963,-8.02252
0.738851,1.97974,-0.935498,1.97974,5.65114
1.52451,-0.671756,-0.165337,-0.671756,9.64087
