x,theta,x_dot,theta_dot,force,label1,label2,label3,label4
1.4037,-0.0969939,-0.832358,-0.957039,3.08114,-0.832358,-0.957039,2.97935,-4.03066
0.858866,-0.18448,-0.285146,-0.845863,4.26799,-0.285146,-0.845863,4.07083,-4.40452
0.249087,0.151623,0.480186,0.249894,-8.23678,0.480186,0.249894,-8.07142,12.9942
-0.774786,-0.124261,0.51417,-0.485514,-4.14259,0.51417,-0.485514,-4.25816,10.8824
2.34213,-0.13592,0.73095,-0.335873,8.46153,0.73095,-0.335873,8.3138,-13.8157
1.0163,0.0452774,0.704383,0.329162,-1.89974,0.704383,0.329162,-1.85476,2.81768
1.97684,0.0670052,0.89506,0.648595,-5.2105,0.89506,0.648595,-5.14125,8.94578
0.188493,0.135714,-0.172119,0.741534,-2.5111,-0.172119,0.741534,-2.37154,2.04492
-1.3946,0.119158,0.146242,-0.317844,-7.1475,0.146242,-0.317844,-7.02119,11.6105
-1.18914,0.198941,-0.208163,-0.533331,-3.31186,-0.208163,-0.533331,-3.10686,2.21363
1.54739,-0.0415881,0.272952,0.698482,6.05782,0.272952,0.698482,6.01502,-11.2039
-0.391406,-0.0541397,0.337729,0.304558,-9.2126,0.337729,0.304558,-9.26314,19.5608
-0.599457,-0.117981,0.635539,-0.441034,-3.7351,0.635539,-0.441034,-3.84558,9.94711
0.0125171,-0.0540128,-0.590113,-0.568996,-2.6263,-0.590113,-0.568996,-2.67928,6.40995
1.99952,0.130366,0.983176,-0.563156,-6.82781,0.983176,-0.563156,-6.688,10.712
0.591425,0.0384667,-0.468288,-0.329613,-4.62254,-0.468288,-0.329613,-4.58396,8.40661
-0.486519,0.0314278,0.904961,-0.606481,3.72805,0.904961,-0.606481,3.75906,-8.13093
1.9462,-0.00826541,-0.0450638,-0.760368,8.42183,-0.0450638,-0.760368,8.41343,-16.6641
0.94095,0.181613,-0.502443,0.264123,-5.38151,-0.502443,0.264123,-5.18968,6.66496
-0.636501,-0.0782205,0.460656,-0.402191,-1.00415,0.460656,-0.402191,-1.08054,3.6876
0.99132,-0.0259304,-0.395127,0.76329,-4.07731,-0.395127,0.76329,-4.10321,8.71237
-0.365517,-0.163077,0.866065,-0.294889,4.44136,0.866065,-0.294889,4.27223,-5.24569
